subject;title;author;date;excerpt;temporal;zone;agent;fase;state;func;local;form;view;role;lok;loe;num;suit;rev;citekey;svg;dxf;ifc
br-rn-acari-r_dr_jose_augusto_15;Planta baixa;Eduarda Santana;2024-01-07;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_15;Fachada para nordeste;Eduarda Santana;2024-01-07;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_15;Corte longitudinal;Eduarda Santana;2024-01-07;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_57;Planta de situação;Eduarda Santana;2024-01-08;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_dr_jose_augusto_57;Planta do pavimento térreo;Eduarda Santana;2024-01-08;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_57;Planta do sobrado;Eduarda Santana;2024-01-08;;;Storey;ARQTRAD;LV;O;;SOB;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_57;Fachada para nordeste;Eduarda Santana;2024-01-08;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_57;Corte longitudinal;Eduarda Santana;2024-01-08;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_68;Planta de situação;Eduarda Santana;2024-01-08;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_dr_jose_augusto_68;Planta baixa;Eduarda Santana;2024-01-08;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_68;Fachada para sudeste;Eduarda Santana;2024-01-08;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_68;Corte longitudinal;Eduarda Santana;2024-01-08;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_76;Planta de situação;Eduarda Santana;2024-01-08;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_dr_jose_augusto_76;Planta baixa;Eduarda Santana;2024-01-08;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
